LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	श्री. पुतीन यांनी अंकारावर मास्कोला पाठीवर वार केल्याचा आरोप केला.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	आजार झाल्यास आयोजक कधी पैसे देतात?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	कंपनीच्या प्रवक्त्याने शुक्रवारी याबाबत अधिक माहिती दिली नाही.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	मिस्टर कोए काही सेकंद आणि तिसर्यांदा परत गेले.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Samsungपल आणि सॅमसंग सारख्या आशियाई प्रदात्यांकडे आता नियंत्रण आहे.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	डावे प्रमुख बर्नड रिक्सिंगर म्हणाले की रेसिडेन्सी कायदे हळूवारपणे बोलणे व घट्ट करणे या देशातील लोकांना अधिक सुरक्षित बनविणार नाही. ”	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	परंतु रहिवासी दर्जाचा दहशतवादाशी काय संबंध आहे?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	परिणामी, ग्रीनलँड शार्क कसे जगतात याबद्दल संशोधकांना फारसे माहिती नाही.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	ऑलिंपिक: डोपिंग चाचण्यांमध्ये निर्लज्ज फसवणूक	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	डोपिंगने त्रस्त असलेल्या देशातील जवळपास सर्व वेटलिफ्टर्सना रिओमध्ये भाग घेण्याची परवानगी नव्हती.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	त्यांची धीमी गती स्वाल्बार्डच्या संशोधकांनी मोजली, ज्यांनी ट्रॅकरसह सहा प्राण्यांना बसवले.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	स्पोर्ट्स पिरॅमिड म्हणून सन्मानित करण्यात आलेले लेन्गर 18 वे व्यक्ती आहे.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
