LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	Mnr. Poetin het Ankara beskuldig dat hy Moskou in die rug gesteek het.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	Wanneer betaal organiseerders as siekte staak?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	'N Woordvoerder van die maatskappy het Vrydag nie meer besonderhede gegee nie.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	Mnr. Coe het vir sekondes en derdes teruggekeer.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Apple, en Asiatiese aanbieders soos Samsung, is nou besig om te swaai.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	Bernd Riexinger, hoof van links, het gesê dat 'gladde praatjies en strenger inwoningswette nie die mense in hierdie land meer veilig sal maak nie'.	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	Maar wat het residensiële status met terrorisme te doen?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	Gevolglik weet navorsers min oor hoe Groenlandse haaie leef.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	Olimpiese Spele: hardnekkige bedrog in dopingtoetse	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	Byna al die gewigoptelers uit die land, wat deur Doping geteister is, mag nie aan Rio deelneem nie.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	Hul trae spoed is gemeet deur navorsers op Svalbard, wat ses diere van 'n Tracker toegerus het.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	Langer is die 18de persoon wat die sportpiramide ontvang.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	Wie moet na 'n slaaplaboratorium gaan, en wat gebeur daar?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	Hul trae spoed is gemeet deur navorsers op Svalbard, wat ses diere van 'n Tracker toegerus het.	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	As iemand wat jy ken reeds in 'n koor vir bejaardes sing, kan jy maar net so saamgaan.	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	Moskou se reaksie destyds was woedend.	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
de-en	'N Portugese Orion-vliegtuig van die P-3C van die lugmag het ongelooflik laag geswaai	a portuguese-based p-3c orion aircraft of the air force put down an incredible storm flight	a portuguese air force p-3c orion plane swooped in incredibly low	-1.1379495267115	0.142478
de-en	In 'n vergadering met president Poetin wat op staats-televisie verskyn, het albei mans beweer dat die stafhoof op eie versoek uitgetree het.	at a meeting with president putin , broadcast on television , both men claimed the stabbing would resign on their own request .	in a meeting with president putin shown on state television both men claimed that the chief of staff was stepping down at his own request .	-1.1236925563288	0.278687
de-en	Iemand het vandag hierdie ouens dopgehou.	someone woke up today about these men .	someone was watching over these guys today .	-1.11924828163556	0.201649
de-en	Spanne vroue wat vir manlike plaaswerkers gekook is, en varsgebakte taart is by ontbyt, middagete en aandete bedien.	teams of women coined for male feldarmen and it was served with freshly baked pastes for breakfast , lunch and dinner .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.11915403260427	0.360766
de-en	Die land se baan- en veldatlete het die meeste medaljes verower tydens die 2015 wêreldkampioenskappe in Beijing.	the light athletes of the country won most medals at the wm 2015 in peking .	the country &apos;s track and field athletes won the most medals at the 2015 world championships in beijing .	-1.10800857069783	0.238308
de-en	Die afgelope paar maande het ek vir die eerste keer nie meer veilig gevoel in Duitsland nie.	i don &apos;t feel in the last few months , for the first time , certainly in germany .	over the past few months , i have no longer felt safe in germany for the first time .	-1.1074249880675902	0.281291
de-en	Sy het die Olimpiese Spele in 2008 misgeloop toe sy nie die laaste keer vir die finale rooster gemaak het nie.	you missed the olympics in 2008 , because they could not qualify for the squad .	she missed out on the 2008 olympics when she did not make the cut for the final roster .	-1.09950777423858	0.110456
de-en	Mnr. Coe het vir sekondes en derdes teruggekeer.	coe took a hit three times .	mr. coe went back for seconds , and thirds .	-1.09152568158111	0.133914
de-en	Regine Kunde van die werkgroep het gesê dat die vrywilligers meer as dankbaar is dat Deuschle nou beskikbaar is om as 'n Jack-of-all-ambag te werk om almal te help wat probleme ondervind.	regine &apos;s client from the working group suggests that the volunteers are more than thankful that deuschle is now there , the egg legend woolly trades , which has above all a problem .	regine kunde from the working group said that the volunteers are more than grateful that deuschle is now available to work as a jack-of-all-trades to help anyone experiencing difficulties .	-1.0864211885566	0.310391
