LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	मिस्टर पुतिन ने पीछे हटते हुए अंकारा पर चाकू मारने वाले मॉस्को का आरोप लगाया।	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	बीमारी के हमले होने पर आयोजक कब भुगतान करते हैं?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	कंपनी के प्रवक्ता ने शुक्रवार को अधिक जानकारी नहीं दी।	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	श्री कोए सेकंड, और तिहाई के लिए वापस चले गए।	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	सैमसंग जैसे ऐप्पल, और एशियन प्रदाता, अब बोलबाला है।	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	बाईं ओर के प्रमुख, बर्ड रिक्सिंजर ने कहा कि `` चिकनी बात और रेजीडेंसी कानूनों को कड़ा करना इस देश में लोगों को और अधिक सुरक्षित नहीं बनाने जा रहा है।	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	लेकिन आवासीय स्थिति का आतंकवाद से क्या लेना-देना है?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	नतीजतन, शोधकर्ताओं को बहुत कम पता है कि ग्रीनलैंड शार्क कैसे रहते हैं।	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	ओलंपिक: डोपिंग परीक्षणों में ब्रेज़ेन धोखा	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	डोपिंग से त्रस्त राष्ट्र के लगभग सभी भारोत्तोलकों को रियो में भाग लेने की अनुमति नहीं थी।	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	उनकी धीमी गति को स्वालबार्ड के शोधकर्ताओं ने मापा, जिन्होंने एक ट्रैकर के साथ छह जानवरों को फिट किया था।	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	लैंगर खेल पिरामिड से सम्मानित होने वाले 18 वें व्यक्ति हैं।	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	नींद की प्रयोगशाला में कौन जाना चाहिए, और वहां क्या होता है?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	उनकी धीमी गति को स्वालबार्ड के शोधकर्ताओं ने मापा, जिन्होंने एक ट्रैकर के साथ छह जानवरों को फिट किया था।	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	यदि आप किसी को पहले से ही जानते हैं कि वह बुजुर्गों के लिए गाना बजानेवालों में गाता है, तो आप बस उनके साथ जा सकते हैं।	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	उस समय मास्को की प्रतिक्रिया उग्र थी।	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
de-en	एक पुर्तगाली वायु सेना पी -3 सी ओरियन विमान अविश्वसनीय रूप से कम में झपट्टा मारा	a portuguese-based p-3c orion aircraft of the air force put down an incredible storm flight	a portuguese air force p-3c orion plane swooped in incredibly low	-1.1379495267115	0.142478
de-en	राष्ट्रपति पुतिन के साथ राज्य टेलीविजन पर दिखाए गए एक बैठक में दोनों पुरुषों ने दावा किया कि कर्मचारियों के प्रमुख अपने अनुरोध पर आगे बढ़ रहे थे।	at a meeting with president putin , broadcast on television , both men claimed the stabbing would resign on their own request .	in a meeting with president putin shown on state television both men claimed that the chief of staff was stepping down at his own request .	-1.1236925563288	0.278687
de-en	आज कोई इन लोगों को देख रहा था।	someone woke up today about these men .	someone was watching over these guys today .	-1.11924828163556	0.201649
de-en	नर फार्मवर्कर्स के लिए पकाई गई महिलाओं की टीमें, और नाश्ते, दोपहर और रात के खाने में फ्रेश-बेक्ड पाई परोसी गई।	teams of women coined for male feldarmen and it was served with freshly baked pastes for breakfast , lunch and dinner .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.11915403260427	0.360766
de-en	देश के ट्रैक और फील्ड एथलीटों ने बीजिंग में 2015 विश्व चैंपियनशिप में सबसे अधिक पदक जीते।	the light athletes of the country won most medals at the wm 2015 in peking .	the country &apos;s track and field athletes won the most medals at the 2015 world championships in beijing .	-1.10800857069783	0.238308
de-en	पिछले कुछ महीनों में, मैंने जर्मनी में पहली बार सुरक्षित महसूस नहीं किया है।	i don &apos;t feel in the last few months , for the first time , certainly in germany .	over the past few months , i have no longer felt safe in germany for the first time .	-1.1074249880675902	0.281291
de-en	2008 के ओलंपिक में वह चूक गई जब उसने अंतिम रोस्टर के लिए कटौती नहीं की।	you missed the olympics in 2008 , because they could not qualify for the squad .	she missed out on the 2008 olympics when she did not make the cut for the final roster .	-1.09950777423858	0.110456
de-en	श्री कोए सेकंड, और तिहाई के लिए वापस चले गए।	coe took a hit three times .	mr. coe went back for seconds , and thirds .	-1.09152568158111	0.133914
de-en	वर्किंग ग्रुप के रेजिन कुंडे ने कहा कि स्वयंसेवक आभारी से अधिक हैं कि ड्यूशले अब जैक-ऑफ-ट्रेड के रूप में काम करने के लिए उपलब्ध हैं, ताकि किसी को भी कठिनाइयों का सामना करने में मदद मिल सके।	regine &apos;s client from the working group suggests that the volunteers are more than thankful that deuschle is now there , the egg legend woolly trades , which has above all a problem .	regine kunde from the working group said that the volunteers are more than grateful that deuschle is now available to work as a jack-of-all-trades to help anyone experiencing difficulties .	-1.0864211885566	0.310391
