LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	Hr Putin astus üles, süüdistades Ankarat Moskva tagant torkamises.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	Millal maksavad korraldajad, kui haigus tabab?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	Ettevõtte pressiesindaja reedel täpsemaid andmeid ei andnud.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	Hr Coe läks sekunditeks tagasi ja kolmandik.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Apple ja Aasia pakkujad, näiteks Samsung, on nüüd kursis.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	"Vasakpoolsed juhid Bernd Riexinger ütlesid, et ""sujuv rääkimine ja residentuuriseaduse karmistamine ei muuda selle riigi inimesi turvalisemaks""."	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	Kuidas on elukoha staatusel pistmist terrorismiga?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	Selle tulemusel teavad teadlased vähe sellest, kuidas Gröönimaa haid elavad.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	Olümpiamängud: meeletu petmine dopinguproovides	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	Peaaegu kõigil dopingu käes vaevlevatel rahva raskuste tõstjatel ei lubatud Rios osaleda.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	Nende aeglast kiirust mõõtsid Svalbardi külje all olevad teadlased, kes paigaldasid jälitajaga kuus looma.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	Langer on 18. inimene, kellele autasustatakse spordipüramiidi.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	Kes peaks minema unelaborisse ja mis seal juhtub?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	Nende aeglast kiirust mõõtsid Svalbardi külje all olevad teadlased, kes paigaldasid jälitajaga kuus looma.	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	Kui keegi tuttav juba eakate kooris laulab, võite nendega lihtsalt kaasa minna.	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	Moskva tollane reaktsioon oli raevukas.	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
de-en	Portugali õhuväe P-3C Orioni lennuk lendas uskumatult madalale	a portuguese-based p-3c orion aircraft of the air force put down an incredible storm flight	a portuguese air force p-3c orion plane swooped in incredibly low	-1.1379495267115	0.142478
de-en	Riigitelevisioonis näidatud kohtumisel president Putiniga väitsid mõlemad mehed, et staabiülem astus ametist tagasi tema enda soovil.	at a meeting with president putin , broadcast on television , both men claimed the stabbing would resign on their own request .	in a meeting with president putin shown on state television both men claimed that the chief of staff was stepping down at his own request .	-1.1236925563288	0.278687
de-en	Keegi jälgis neid poisse täna.	someone woke up today about these men .	someone was watching over these guys today .	-1.11924828163556	0.201649
de-en	Meeste talutöötajatele küpsetatud naiste meeskonnad ja hommikusöögi, lõuna ja õhtusöögi ajal pakuti värskelt küpsetatud pirukat.	teams of women coined for male feldarmen and it was served with freshly baked pastes for breakfast , lunch and dinner .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.11915403260427	0.360766
de-en	Riigi kergejõustiklased võitsid Pekingis 2015. aasta maailmameistrivõistlustel kõige rohkem medaleid.	the light athletes of the country won most medals at the wm 2015 in peking .	the country &apos;s track and field athletes won the most medals at the 2015 world championships in beijing .	-1.10800857069783	0.238308
de-en	Viimase paari kuu jooksul pole ma enam esimest korda Saksamaal end turvaliselt tundnud.	i don &apos;t feel in the last few months , for the first time , certainly in germany .	over the past few months , i have no longer felt safe in germany for the first time .	-1.1074249880675902	0.281291
de-en	Ta jättis 2008. aasta olümpiamängud vahele, kui ta ei teinud viimast nimekirja.	you missed the olympics in 2008 , because they could not qualify for the squad .	she missed out on the 2008 olympics when she did not make the cut for the final roster .	-1.09950777423858	0.110456
de-en	Hr Coe läks sekunditeks tagasi ja kolmandik.	coe took a hit three times .	mr. coe went back for seconds , and thirds .	-1.09152568158111	0.133914
de-en	Regine Kunde töörühmast ütles, et vabatahtlikud on rohkem kui tänulikud selle eest, et Deuschle on nüüd saadaval kõigi jaoks Jack-of-Trades'i abistamiseks, et aidata kõiki, kellel on raskusi.	regine &apos;s client from the working group suggests that the volunteers are more than thankful that deuschle is now there , the egg legend woolly trades , which has above all a problem .	regine kunde from the working group said that the volunteers are more than grateful that deuschle is now available to work as a jack-of-all-trades to help anyone experiencing difficulties .	-1.0864211885566	0.310391
de-en	Kuni 4. septembrini 2016, valimis- ja pühade viimasel päeval peavad Mecklenburg-Vorpommerni inimesed korraldama veel ühe valimise ilma, et rahvaga konsulteeritaks.	until september 4 , 2016 , the election and final day of the day , mecklenburg-vorpommern will have to leave the race just short of the people .	until 4 september 2016 , election day and the last day of the holidays , people in mecklenburg-vorpommern must put up with one more election without the people being consulted .	-1.08475640059434	0.11976
de-en	Masenduse masendav toit, `` ruudukujuline eine ’’	the depressing meal of the economic crisis in a rich meal	the depressing food of the depression , in &quot; a square meal &quot;	-1.04497995469943	0.176761
de-en	Te ei pea üldse eksamiks valmistuma.	for the investigation to prepare one does not have itself actually .	you don &apos;t have to prepare for the examination at all .	-1.03349779275628	0.187036
de-en	Kui te arvate, et see peatub kohe, kui nad Saksamaale jõuavad, oleksite eksinud, ütleb Bahr.	who thinks that the end as soon as they arrive in germany , tells bahr .	if you think that this stops as soon as they arrive in germany , you &apos;d be wrong , says bahr .	-1.0108609707209202	0.364847
de-en	Paljusid Rigaueri uusehitisi peetakse selle arengu sümboliteks: see selgub nende katkistest akendest või värskelt värvitud fassaadidest, mida pritsivad värvipommid.	many of the buildings in riga are attacked as symbols of this development : they have inserted slices or freshly painted facades that were thrown at bags with the color .	many of the new buildings in rigauer are seen as symbols of this development : this is clear from their broken windows or freshly painted facades splattered by paint bombs .	-0.997247598572057	0.316316
de-en	Isegi pärast Greenpointi kolimist teeks ta ikkagi trekki.	even after they had moved to greenpoint , would you take the path up .	even after she moved to greenpoint , she would still make the trek .	-0.991710822698228	0.287879
de-en	Eelkõige saavad üksi elavad vanemad inimesed praktiseerida, kuidas keskenduda teistele inimestele peale iseenda.	straight older humans , who live alone , practice in such a way , not to only concentrate on itself .	in particular , older people who live alone can practice how to focus on people other than themselves .	-0.9852186784501992	0.139245
de-en	Ilmselt on seos Hua Hini plahvatustega.	you go from a connection with the explosions in hua hin , it was said .	there is apparently a connection with the explosions in hua hin .	-0.96210618387129	0.492479
de-en	Kolm meest nägid raskusi ohutuse nimel ujumisega, kui nende paat jätkus omal jõul.	the three men had to swim the difficulties in security , while your boat from your own strength moving .	the three men struggled to swim to safety while their boat continued under its own power .	-0.958634122198454	0.153622
de-en	Pärast väljatõstmist oli maja ühe magamistoa põrandale jäänud räpane madrats	a dirty mattress that is left in one of the house &apos;s bedrooms after being deleted on the floor	a dirty mattress left on the floor of one of the bedrooms in the house after the eviction	-0.954769384903391	0.253474
de-en	See pole rahulik reklaam tegeliku asja kohta.	this is not cooperative advertising for one &apos;s own cause .	it &apos;s not calm advertisement for the actual matter at hand .	-0.9464712065754392	0.13078499999999998
de-en	Senati demokraatliku liidri Harry Reidi sõnul on ta veendunud, et demokraatide presidendikandidaat Hillary Clinton nimetab ülemkohtusse kohtuniku Merrick Garlandi, kui ta valitakse presidendiks.	harry reid , anführer of the democrats in the senate , is convinced that the presidency candidate of the democrats , hillary clinton will nominate the judge merrick garland for highest gericht .	senate democratic leader harry reid says he is convinced that democratic presidential candidate hillary clinton will nominate judge merrick garland to the supreme court if she is elected president .	-0.945836894919085	0.192551
de-en	`` Ta (Anzrah) läks dopingukontrolli ja väitis, et ta oli Ferguson Rotich, andis talle proovi ja allkirjastas selle, '' selgitas Keenia peakokkade missiooni esindaja Stephan Arap SOI.	he ( american ) has gone to the doping control station and has spent themselves as ferguson rotich , the test made and signed , &quot; explained kenyan chief executive de mission stephan arap soi .	&quot; he ( anzrah ) went to the doping check and alleged that he was ferguson rotich , handed in the sample , and signed for it , &quot; explained stephan arap soi , kenya &apos;s chef de mission .	-0.9403323479874092	0.15371
de-en	Infrastruktuuri tuleb investeerida, ütlevad Trump ja Clinton peaaegu sõna-sõnalt.	in the need to be invested , trump and clinton say almost eloquently .	there has to be investment in infrastructure , trump and clinton say almost verbatim .	-0.91259035350632	0.433534
de-en	Eelmine rekordiomanik, 211-aastane Gröönimaa vaal, kelle kaela asetati 120-aastane Harponi ots, tabati Alaska juurest.	even the previous record holder , a 211-year-old greenland whale in whose bacon on the neck put a 120-year-old harpoon top , was caught off alaska .	the previous record holder , a 211-year-old greenland whale , in whose neck a 120-year-old harpoon tip was lodged , was caught off alaska .	-0.903606675562224	0.5608479999999999
de-en	Kuid kas Yougovi tulemused on tõesed?	but are the results of yougov ?	but are yougov &apos;s results true ?	-0.8993718069368599	0.290715
de-en	Pidage meeles, see on antud Moskva jaoks, millel on oma sügav hirm režiimi muutmise ees.	this is for moscow , mind you , as a matter of course , the self has to change a deep-seated fear of the regime .	mind you , that &apos;s a given for moscow which has its own deep-seated fear of regime change .	-0.89214432451996	0.156397
de-en	Ta suhtub vägivallaaktidesse rahulikult: numbri 94 inimesed on tema naabrid, neil polnud kindlasti midagi pistmist.	which concerns acts of violence , she is appeasing : the people in the 94 are their neighbours , those that were not certainly .	she is calm about acts of violence : the people at number 94 are her neighbours , they certainly had nothing to do with it .	-0.8877835281161891	0.170998
de-en	`` lihtsalt - palun ärge võtke pärastlõunast uinakut, '' ütleb Fietze.	&quot; only please do not make a nap of lunch , &quot; says fietze .	&quot; just - please don &apos;t take an afternoon nap , &quot; says fietze .	-0.886414806879876	0.333448
de-en	Kuigi Luksemburg on koduks suurele fonditööstusele, näiteks Dublinile, laseb selle infrastruktuur selle maha.	luxembourg is home to a large fund industry , but as well as dublin infrastructure .	while luxembourg is home to a large funds industry , like dublin , its infrastructure lets it down .	-0.874184888047058	0.343321
de-en	Selle aasta neli kõige pikemat viset olid naise kullaotsad.	the four widest litters this year go to the account of the great gold favorite .	this year &apos;s four longest throws were by the woman tipped for gold .	-0.8668391300488449	0.125122
de-en	Samuti võeti ära tema 2008. aasta olümpiamängude pronksmedal, kuid see tagastati talle pärast rahvusvahelise spordi arbitraažikohtu CASi otsust.	the also acknowledged bronze medal of the 2008 olympic games received cas because of a ruling by the international sports court .	his bronze medal from the 2008 olympics was also taken away , but it was returned to him following a decision by the international court of arbitration for sport , cas .	-0.851077071784717	0.101689
de-en	Nad ei jälita mitte ainult finišijoont või stardiseina, vaid ka televisioonis levi ajal veel ühte kohutavat joont: maailma või olümpia rekordit.	they don &apos;t just hunt down the finishing line or the starting point , but also in the television broadcast , another hitch goal : the world or the olympics .	they are chasing not only the finish line or the starting wall but also , in the televised coverage , another taunting line : that of the world , or olympic , record .	-0.8436833895230359	0.163668
de-en	"Lisaks oli mõnedel peamistel turgudel muutunud ""muutunud majanduskliima"", mis tõi kaasa vähem oste."	in addition , in some core markets , there has been a reluctance to buy in some core markets .	in addition , some key markets saw &quot; changed economic climates &quot; , which led to fewer purchases .	-0.842670824605093	0.139245
de-en	Kui hr Putin võimule tuli, nimetas ta hr Ivanovi üheks viiest inimesest, keda ta kõige rohkem usaldas.	as putin to power called it arrived ivanov as one of five people , which he to most familiar .	when mr putin came to power , he named mr ivanov as one of the five people he trusted most .	-0.842272705043136	0.231512
de-en	Suvelaagri muude oluliste sündmuste hulka kuulus kalapüük lähedal asuvas tiigis, õhtute veetmine lõkke ääres ja lõpuüritus.	other highlights of the leisure were fishing in a nearby pond , the evenings on fire and the final &quot; bunte evening . &quot;	other highlights of the summer camp included fishing in a nearby pond , spending the evenings around a campfire , and the concluding &quot; gala night &quot; .	-0.839105920880119	0.329022
de-en	Verb kasutab Bagelide jaoks sama turustajat ja ostis sama espressomasina mudeli.	verb used the same distributor for the badge bought the same espresso model .	verb uses the same distributor for the bagels and bought the same model of espresso machine .	-0.8314633481688181	0.364657
de-en	29-aastane noormees kaitses end sellega, et oli pärast operatsiooni kannatanud halva hambavalu käes.	she had strong toothaches after surgery , defending the 29-year-old .	the 29-year-old defended herself by saying she had suffered with bad toothache after an operation .	-0.826669441838164	0.13015
de-en	Kuid rassismi kogenud vaatlejatele tuletas lääts neile meelde tegevuses toimuvaid haavavaid stereotüüpe.	but outsiders who have experienced racism reminded the filter of offending cliches .	but for observers who have experienced racism , the lens reminded them of hurtful stereotypes in action .	-0.8237117601995799	0.215206
de-en	Elanikud üllatasid kahte meest, kes põgenesid.	the resident surprised the two and suggested the unholy .	the residents surprised the two men , who fled .	-0.814446657791637	0.259654
de-en	Hoolimata väikestest kaotustest (8,7 protsendist 6 protsendini) naasevad rohelised Schwerini piirkondlikku parlamenti.	the greens are hesitating , despite slight losses , with 6 per cent ( previously 8.7 per cent ) back in the weigh-in country day .	despite small losses ( from 8.7 percent to 6 percent ) , the greens will return to schwerin &apos;s regional parliament .	-0.8098940303279839	0.0850127
